wire_number,A,B
620,6.365836008372063,
621,6.036260136084312,
622,6.15890699520747,
623,6.337554403200638,
624,6.208961007128155,
625,6.295792455604257,
626,6.385539735158429,
627,6.270342681415033,
628,6.441284980631847,
629,6.3414603824123645,
630,6.307071357301494,
631,6.308664935087082,
632,6.610449029920694,
633,6.498557678914056,
634,6.510228183407451,
635,6.335928094563284,
636,6.390990357959739,
637,6.620965820033886,
638,6.385244067339319,
751,5.5066980287978025,
754,6.737813247570179,
755,6.405940660549164,
756,9.433933801859869,
757,9.424425633334955,
