wire_number,A,B
8,6.917520849426486,5.389311327225275
9,4.144340316670871,5.4311016940871735
10,5.716256776356182,5.411928153828326
11,4.324498590231876,5.23834076344603
12,4.460274605242184,5.417454943987129
13,6.310958085477903,5.212675953612991
14,6.18874519749203,5.175679901924301
15,6.162438043765708,5.459860361300632
16,6.202006067098608,5.348232075483976
17,5.998619748240988,5.284532922869973
18,6.309507668496659,5.469835933514924
19,6.226242100123726,5.3247612893075
20,6.1954258929781405,5.307640290771585
21,6.424059484482179,5.253580373061671
22,6.398735097330706,5.064611398343408
23,5.977878365166091,5.251848746259681
24,5.892669363963369,5.428786672472847
25,5.762218530380836,5.547855674167716
26,5.932333985574253,5.635177272302449
27,5.920605760565545,5.340596825378167
28,6.179833443142507,5.6193973486593265
29,5.689116735269766,5.621471099189357
30,5.94571625574145,5.690399470287721
31,5.785497457952979,5.905443780736917
32,5.886623452810174,6.0827108652085435
33,5.714645986241588,5.5184024218950025
34,5.793758613190761,5.873009833812984
35,5.850066768061455,5.832859680025996
36,5.926157556178548,5.704305555806108
37,5.848651016177123,5.757061607020371
38,5.7893404396105295,5.554299186854998
39,5.6882182944650825,5.805091901548453
40,5.820361776653305,5.680102983705623
41,5.663308300337731,5.276906579821356
42,5.6206440662332655,5.616969396909929
43,5.578546737035763,5.416782636114653
44,5.946302152440747,5.4271919611894255
45,5.609468840447586,5.544667645596446
46,5.683144889149728,5.436162172077099
47,5.656463811451922,5.465478168078249
48,6.125141843469231,5.566740312004822
49,5.515621886581792,5.600892454770776
50,5.323466740254912,5.278129283096382
51,5.373061417939586,5.49396583047224
52,5.861751237610683,5.302331951851439
53,5.851989292931548,5.732064545813664
54,6.170033297125689,5.61676662761725
55,5.835282601608853,5.505193334407757
56,5.77661841341577,5.535174842033881
57,5.924869868358342,5.542336416176354
58,5.954053390930782,5.423187992813623
59,5.731895342372335,5.395254990508358
60,5.6993157618096335,5.403508069396789
61,6.115362104351414,5.458530403467015
62,6.137284262684651,5.631218655981887
63,5.804648487475874,5.490963569843165
64,5.875812535319441,5.333917502096615
65,5.932442623740235,5.495857441014041
66,6.06488229603307,5.429672070093056
67,5.930226789494787,5.492624690796189
68,5.875540406393747,5.572192646529314
69,5.613947623844229,5.482073143632163
70,6.098871181864469,5.616147404175261
71,5.942262838745999,5.742518678129888
72,5.923078352780978,5.73049412776424
73,5.620833630230229,5.828431654117095
74,5.749712343754414,5.780464720497252
75,5.982778116745535,5.8024281722355715
76,5.63301665096023,5.901860427446724
77,5.6839462409872965,5.707516270991164
78,5.843768223010414,5.751358161597479
79,5.687300856588519,5.7313746071892036
80,5.714108171647919,5.867697773111472
81,6.1722541769081545,5.800863963615722
82,6.072497955735912,5.7785288973704505
83,6.000809080864656,5.611766054401478
84,5.83708224349957,5.797984048469439
85,5.821402058765586,5.838075964081796
86,5.766457872120796,5.877770962967034
87,5.810080303247897,5.901012856297874
88,5.918370665248337,5.79442405459423
89,6.020598465284752,5.8895434645441
90,5.970010487305584,5.892471868210973
91,5.931866159193273,5.725487695655603
92,5.634096771399007,5.675298896770692
93,6.151270473565944,6.030469718148703
94,5.576920842203479,5.928770655866022
95,5.680482184220582,6.022923800370917
96,5.592082913354366,6.388549028956965
97,5.783771724927913,5.982791801611149
98,5.616283840690244,5.983802325349313
99,5.108309461468707,6.069957246834809
100,5.195186993336713,6.600063501782033
101,5.141412122677266,6.202799600897479
102,5.047209649959479,6.153189165787711
103,5.174813933221327,6.197037989103951
104,5.426009794436466,6.120863903040739
105,5.420418462104491,6.170900656748459
106,5.236854181266021,6.397306858744452
107,5.22512771892973,6.135179920213806
108,5.226559857972298,6.190589783990973
109,5.494256068008225,6.4027353445478425
110,5.368262867382098,6.1524970416612295
111,5.58854480256166,6.240257524537957
112,5.386208828323176,6.081769714766311
113,5.33675667678569,6.144091569092676
114,5.508243771126198,6.157560320406753
115,5.662106263617758,6.0579407275982025
116,5.708853900153024,6.061050004296537
117,5.711511137255165,6.027076080748457
118,5.741996227665994,5.929185244424373
119,5.645039989821517,6.183809259854281
120,5.549657932218746,5.918175426003969
121,5.605667895329718,6.064259513720992
122,5.5688554258955385,6.067032556681068
123,5.666156140752244,6.3506013031308814
124,5.555462889112505,6.105732708464591
125,5.593858949698632,6.008401046443948
126,5.282152108471172,5.95850666447642
127,5.647047150570824,6.228353313396343
128,5.490714486975428,6.0990870718998895
129,5.841086652127192,6.026722907535762
130,5.383570857303769,6.048676865453333
131,5.356431233245093,6.08161049091483
132,5.366853884848253,5.932480520565115
133,5.3029885242527355,6.0043910784911425
134,5.386826770158126,6.15252721900965
135,5.125437671462964,6.026751024334411
136,5.333292260834397,6.036795557546504
137,5.385774957924961,5.948792143669692
138,5.28479127115024,5.955039340520455
139,5.3562844130833245,5.936263126044908
140,5.408534498788866,5.963353236339729
141,5.407299781132522,5.964961520385194
142,5.044767201511031,5.969015530390639
143,5.395113474031212,5.889158656894698
144,5.556703095945442,5.977627800936315
145,5.411998517167235,6.053709425088059
146,5.527409186297755,6.1929170171321415
147,5.456553039823663,6.096703174210289
148,5.393932413452366,6.009346109945197
149,5.266147991773233,6.051912195579885
150,5.3459738235303345,5.5901803506931955
151,5.376641974715164,5.650079341362141
152,5.25219846014881,5.831624216604658
153,5.161188983895014,5.937492810290034
154,5.011432699095151,5.86757315028523
155,5.054967123931961,5.862261545326587
156,4.99178090312092,5.811033985210865
157,4.975304178924182,5.942789937553419
158,4.993570955245728,5.935636167125867
159,4.634070877029192,5.764128016938669
160,5.3306833358966905,5.865426086299389
161,5.59716509054047,5.85866455086951
162,5.5357424302561995,5.8845717716243815
163,5.600477862668815,5.936194969825567
164,5.668868259996147,5.954082433869964
165,5.41299584349529,5.842942306499355
166,5.682000170978627,5.828803101818893
167,5.561947600886373,5.950778604764172
168,5.610861293061384,5.923446858471987
169,5.6897760880572426,5.963834295122583
170,5.472947751369807,5.989921341078112
171,5.392462674125955,5.888237809361441
172,5.55793123009192,5.9529344246941776
173,5.279985514963562,5.88652068655144
174,5.47186524801754,5.8341476261455085
175,5.633535724380187,5.587187464651124
176,5.682701872897156,5.777108613964675
177,5.653365242682722,5.678884160574031
178,5.742179143040324,5.896347696086133
179,5.561975588313396,5.81123135882891
180,5.579012675848711,6.06525530376749
181,5.543358555620938,6.003613745430663
182,5.810340891682925,6.060600265943478
183,5.568656359750651,6.05329391675721
184,5.747547425859405,6.079679031315409
185,5.5743438036030675,5.889560327755758
186,5.527292675566947,5.951791584152497
187,5.568194121195398,6.01598465954456
188,5.788798180136425,6.127043593742203
189,5.691554961009127,6.06751246314065
190,5.571312031884758,5.84525533682664
191,5.766946163492971,5.868039788207795
192,5.874757438975285,5.84056028504579
193,5.8429180628103285,5.714693979542866
194,5.47597574941409,5.853174416925094
195,5.789199115281312,6.005489085345142
196,5.617022399103905,5.92965878102917
197,5.9416223982986525,5.979626687185076
198,5.95013807297266,5.830318321808973
199,5.820804347081444,5.93502739719394
200,6.035529315743865,5.936295894986089
201,5.96351775760182,5.999359736418179
202,5.677693162495947,5.848951872877159
203,5.923609170659284,6.366980184876012
204,5.938536528452082,6.312386136611679
205,5.837690642934753,6.3953698464923106
206,5.888737498029014,6.253869479086477
207,5.953779833921209,6.296055516456766
208,5.698077496262936,6.431652631125959
209,5.779843574168636,6.3111811298166876
210,5.740697705396875,6.53788252170333
211,5.70736687187279,6.3043204035376466
212,5.534235485889787,6.359384433284037
213,5.689625231688377,6.443173320917762
214,5.707063800560536,6.4945142475514945
215,5.850796875004862,6.502015801630654
216,5.7705189385883475,6.303467104881019
217,5.707937409328082,6.381288706447883
218,5.696486799461247,6.401929520110362
219,5.564961446927366,6.334287264317388
220,5.872620084027212,6.3358917611428724
221,5.707018070967902,6.478665530946904
222,5.877445716253404,6.394114842480538
223,5.884464396622218,6.499928920519521
224,5.776308589955439,6.489932518153668
225,5.554036492141761,6.500212701484378
226,5.766661100363068,6.339959107180149
227,5.576673598602412,6.4377620969888145
228,6.014793483032376,6.469038907089808
229,5.626271169347322,6.490658010502047
230,5.935745854452005,6.240865007895491
231,5.947793001533476,6.327550314799266
232,5.800203137319295,6.547924722872792
233,5.493276291087698,6.493185145436232
234,5.67723289292579,6.431636759778511
235,5.840804679183027,6.401531793442641
236,5.868021549089475,6.346958085971327
237,5.992275228814441,6.2836388671865055
238,5.716334776186591,6.297413209448394
239,5.388284124897207,6.424105238383901
240,2.9431047536793224,6.2588090937536
241,,6.406864610770957
242,5.392525879015795,6.2712615604838176
243,4.186416476793442,6.196380249751146
244,2.2720937551277043,6.249517621244861
245,,6.108740862434274
246,5.6495373049934505,6.372476330105033
247,,6.284675849886109
248,,6.372059618699112
249,,6.5726439223674955
250,,6.347970690596902
251,3.313643529759132,6.250044284685161
252,5.210080958852577,6.37032913459315
253,3.647715599283334,6.532933663715316
254,,6.399733746033815
255,,6.399109399722006
256,,6.1257431134492935
257,,6.041295620192834
258,,5.884424130582685
259,,6.209583176699245
260,,6.116512610720053
261,,5.936441575869834
262,,6.046684363950495
263,,6.099149195664718
264,,6.238775720308102
265,,6.4179954431817325
266,,6.395072747171113
267,,5.99243853422632
268,,6.149370050807177
269,,6.003978450370892
270,,6.113468747006716
271,,6.242745946918932
272,,6.151096277170758
273,,6.329133926259642
274,,6.328336955525742
275,,6.389291799836689
276,,6.401627251688754
277,,6.295744648231766
278,,6.2977680848825965
279,,6.324091851860063
280,,6.403796375900448
281,,6.379650980227187
282,,6.382068479739976
283,,6.5740590608214555
284,,6.536894928939301
285,,6.694557839095595
286,,6.3226646612343735
287,,6.2750396887411535
288,,6.58787798734944
289,,6.449644552344776
290,,6.406008873145125
291,,6.210508233421245
292,,5.917304633705734
293,,6.426822306470197
294,,6.442143058455471
295,,6.2028470537264955
296,,6.128241625978856
297,,6.2424694896515085
298,,5.875447386899682
299,,6.0772734812506615
300,,6.201071004197003
301,,6.168171337190025
302,,6.29891557276538
303,,6.543139393206605
304,,6.081502533056017
305,,6.279195767812492
306,,6.277424792837821
307,,5.526099486371416
308,,5.533645093885188
309,,5.595755438842046
310,,5.463330439351899
311,,5.971990998116216
312,,6.509176397719772
313,,6.610811888598734
314,,6.731210562472008
315,,6.722435966796474
316,,6.59845492897691
317,,6.820498498855384
318,,6.752259139327365
319,,6.542584713020245
320,,6.5004332232199165
321,,6.536449275148415
322,,6.828394195980443
323,,6.528279081374252
324,,6.727368290616085
325,,6.598312868477419
326,,6.873047234752081
327,,6.432801173695664
328,,6.68859938946746
329,,6.4469737998028185
330,,6.612390895534885
331,,6.503305152293144
332,,6.666864602992504
333,,6.673141778894033
334,,6.229214701952057
335,,6.50982512239673
336,,6.370584808123412
337,,6.365764349922889
338,,6.671413693706612
339,,6.41938592498761
340,,6.677131521046474
341,,6.377713045088888
342,,6.25665020690584
343,,6.492090523467303
344,,6.397382142542824
345,,6.2264131231731445
346,,6.559205499369229
347,,6.149899777994361
348,,6.396584760357948
349,5.960632266331059,6.189431381973994
350,6.390646047815133,5.983966346456843
351,,6.044648731939697
352,6.438117299922759,5.681295166784171
353,6.361902423746406,6.196417684005781
354,,5.938457985484835
355,4.800386948572012,5.942650687833052
356,6.182918799940278,6.181536347859085
357,,6.152653425369131
358,6.335707616780929,6.167135754860244
359,6.068844439187946,5.819568898861129
360,6.402994100781411,6.147666511973081
361,,6.254419991626643
362,6.100800528178548,5.965228821604938
363,,5.972410818821238
364,6.315679565384416,5.928278532742682
365,6.210588718037697,6.113156241016351
366,6.347227142435946,5.859372739378915
367,,5.884872569326386
368,6.025071001920614,6.0849287927877125
369,,6.245797605357582
370,6.005385460265625,5.949705190563157
371,5.9730090336625,5.965718022501062
372,6.021036638490999,6.008099879602919
373,6.193962029442555,6.23160683472395
374,6.290040923061574,6.1322960028272835
375,,6.039085117531811
376,6.484357844067701,6.285065036544293
377,6.498421511312552,6.587680302282265
378,6.587230210888999,6.5474691380259875
379,6.548480585250305,6.419841772151046
380,6.411064862179424,6.293265466837307
381,6.272155307958446,5.9980106351396705
382,6.2219668150487415,6.422628492254101
383,6.338521425641527,6.526306720970007
384,6.199619836331443,6.183351572033852
385,6.353381264882984,6.404766864274722
386,6.3646250666960045,6.37396017521307
387,6.273708134894935,6.315938497629613
388,6.521075772312911,6.595248027365138
389,6.102254422623989,6.5476240004848165
390,6.1255858995341255,6.682563675141171
391,6.345561190877641,6.654928839712967
392,6.335540934962673,6.618118111424266
393,6.294277786812858,5.320404605013508
394,6.166559279619757,5.308638835902274
395,6.333175196923056,5.3042333460866224
396,6.4743042137827835,5.451109775136598
397,,5.484098352584918
398,,6.043831839610037
399,,5.973535716209389
400,,5.942019171608388
401,5.996628341161326,5.850694535489756
402,6.307068784768991,5.897171946386843
403,6.125578231994471,6.004556602935341
404,5.788110604373571,5.623930804321732
405,6.151039013118443,5.847769575760952
406,,5.789798589684536
407,5.947206644145598,5.968777163180351
408,6.188897211449255,6.052706618086615
409,5.808742262571088,5.859658912195623
410,6.239133371404606,5.8728288140334906
411,6.144606287872657,5.880671043797381
412,5.915698979672267,5.897314216197208
413,5.670775233210936,5.992456289383389
414,5.697467621022069,6.012580670857287
415,5.872920038359058,6.070465828528621
416,6.1018820234137925,6.096649666770954
417,6.251677746737834,5.947170242702024
418,5.819135060611155,6.150784697667353
419,6.134455951801628,6.016598196344914
420,5.820211171306224,5.737968226095865
421,5.88893371482521,5.976634340309755
422,5.818222656232728,5.9740649388185245
423,5.599560909985672,6.011669921489696
